10,1,1748109248
10,6,1925584821
10,11,1855670294
10,16,1734073665
10,21,1887583429
10,26,1887051415
10,31,1724248885
10,36,1941217287
10,41,1753603568
10,46,1705798324
10,51,1375926515
10,56,1889714485
10,61,1943471240
10,66,1731830942
10,71,1917313408
10,76,2002769495
10,81,1352850762
10,86,1932253513
10,91,1635782659
10,96,1543753383
15,1,1818869443
15,6,1904225945
15,11,1730040936
15,16,2143168509
15,21,1843408156
15,26,1537372772
15,31,1890248002
15,36,1875948003
15,41,1379043959
15,46,2021515224
15,51,2131569061
15,56,1524074305
15,61,1639788984
15,66,1833814961
15,71,1553784735
15,76,1714534807
15,81,1906937745
15,86,1750394359
15,91,1829305580
15,96,1711466877
18,1,1715413380
18,6,1922819765
18,11,1983780273
18,16,1924477845
18,21,1730935476
18,26,1683918114
18,31,1732727335
18,36,1933369455
18,41,1621520567
18,46,1873847865
18,51,1804165568
18,56,1891315938
18,61,1788741229
18,66,1912384582
18,71,1857214541
18,76,1814925026
18,81,2045602940
18,86,1815909526
18,91,1767491664
18,96,1963418892
20,1,1828306505
20,6,1933927909
20,11,1713657134
20,16,1958250489
20,21,1922819765
20,26,2072193879
20,31,1692003645
20,36,1820353024
20,41,1980845687
20,46,1379328064
20,51,1835826274
20,56,1817388279
20,61,1266602047
20,66,1691576155
20,71,1892920108
20,76,1527203107
20,81,1824321096
20,86,1582803409
20,91,1710155408
20,96,1800768806
25,1,1608277305
25,6,1824321096
25,11,1818869443
25,16,1953679143
25,21,1835826274
25,26,1904225945
25,31,1863417317
25,36,1854128613
25,41,1735872030
25,46,2122783266
25,51,1807575168
25,56,1745374980
25,61,1782075704
25,66,1885457173
25,71,1859794006
25,76,1826809938
25,81,1675490095
25,86,1895599780
25,91,1963994844
25,96,1776401810
30,1,1868096658
30,6,1437059116
30,11,1813450277
30,16,1995011449
30,21,1339587519
30,26,1891315938
30,31,1804651866
30,36,1278941437
30,41,1909112752
30,46,1720261670
30,51,1650704739
30,56,1855670294
30,61,1726917313
30,66,1417585946
30,71,1683918114
30,76,1780180383
30,81,1725582067
30,86,1894527001
30,91,1874372458
30,96,1633388246
35,1,1937846142
35,6,1927247675
35,11,1854642222
35,16,1781601496
35,21,1627037283
35,26,1665072972
35,31,1751768294
35,36,1984956544
35,41,1954819977
35,46,2039993425
35,51,1742649251
35,56,1874897346
35,61,1810507956
35,66,2041237324
35,71,1842393622
35,76,1900442356
35,81,1698442015
35,86,1852589491
35,91,2058179656
35,96,2017251709
50,1,1815417142
